,Type,Title,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
6173,Movie,My Name is Pauli Murray,"Julie Cohen, Betsy West","Pauli Murray, Ruth Bader Ginsburg, Patricia Bell-Scott, Dolores Chandler, Brittney Cooper",2021,PG-13,94 min,"Documentary, Drama",8.7
6174,Movie,My Kingdom Come,Horacio Alcalá,"Simón González, Paqui Domínguez, Alberto Loureiro",2019,13+,90 min,Documentary,8.7
2751,Movie,Sawah,Adolf El Assai,"Karim Kassem, Eric Kabongo, Jean-Luc Couchard, Sarah Abdulrahman, Mourade Zeguendi",2020,Unknown,84 min,"Comedy, Drama, Suspense",8.7
6247,Movie,Calcutta 71,Mrinal Sen,"Ranjit Mallick, Ajitesh Banerjee, Utpal Dutta",1972,ALL,117 min,Drama,8.6
3390,Movie,Dilwale Dulhania Le Jayenge,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal, Anupam Kher, Satish Shah, Achala Sachdev, Himani Shivpuri",1995,7+,190 min,Romance,8.548
2611,Movie,Lucy Shimmers and the Prince of Peace,Rob Diamond,"Scarlett Diamond, Vincent Vargas, Adam Hightower",2020,Unknown,88 min,"Drama, Special Interest",8.523
1741,Movie,Big Sur,Michael Polish,"Jean-Marc Barr, Kate Bosworth, Josh Lucas, Radha Mitchell",2013,R,80 min,"Drama, Romance",8.5
180,Movie,TJ: January 3rd,Jonathan Miller,TJ,2020,18+,57 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",8.5
1742,Movie,Big Red Button - Baby Monkey Songs,"Damien Eckhardt-Jacobi, Vincent Bova",Unknown,2019,ALL,30 min,"Comedy, Kids",8.5
784,Movie,On the Trail of Bigfoot: The Search,Seth Breedlove,"Brian Brown, Darryl Colyer, Loren Coleman",2020,13+,85 min,Documentary,8.5
8,Movie,David's Mother,Robert Allan Ackerman,"Kirstie Alley, Sam Waterston, Stockard Channing",1994,Unknown,92 min,Drama,8.5
57,Movie,Wild Colombia Revealed,Mike Slee,Unknown,2016,7+,91 min,"Documentary, Special Interest",8.5
3327,Movie,Take Me to Tarzana,Maceo Greenberg,"Andrew Creer, Samantha Robinson, Jonathan Bennett, Maria Conchita Alonso, Christopher Coppola, Kahyun Kim, Owen Harn, Oliver Cooper, Bob Wiltfong, Desiree Staples, Betsy Hume, Emanuel Hernandez, Ricky Faust, Cathy Le, Airial Le, Kent Shocknek, Denny Nolan, Elle Vernee",2021,18+,107 min,Comedy,8.5
4371,Movie,Autobiography Mike Tyson,David Michaels,Mike Tyson,2017,PG-13,86 min,"Documentary, Sports",8.5
4764,Movie,Aarohanam,Lakshmy Ramakrishnan,"Viji Chandrasekhar, Jayaprakash, Uma Padmanabhan, Rajie Vijay Sarathy, Sampath Raj",2012,18+,78 min,Drama,8.5
2109,Movie,Songwriter,Alan Rudolph,"Willie Nelson, Kris Kristofferson, Melinda Dillon, Rip Torn, Lesley Ann Warren",1984,R,94 min,"Drama, Music Videos and Concerts",8.5
5698,Movie,RiffTrax Presents High School Hero,Michael J. Nelson,"Bridget Nelson, Mary Jo Pehl, Freddie Stewart, June Preisser, Noel Neill, Anne Rooney, Jackie Moran, Mystery Science Theater 3000 Guys",2019,13+,69 min,"Comedy, Drama",8.5
5696,Movie,RiffTrax: Blood Theatre,Michael J. Nelson,"Michael J. Nelson, Kevin Murphy, Bill Corbett, Mary Woronov, Jenny Cunningham, Jonathan Blakely, Andrew Cofrin, Mystery Science Theater 3000 Guys",2019,18+,75 min,"Comedy, Horror",8.5
5674,Movie,The Gospel of Matthew,David Batty,"Selva Rasalingam, Karima Gouit",2018,ALL,191 min,"Documentary, Drama",8.5
2227,Movie,Operation Toussaint,Nick Nanton,"Tim Ballard, Tony Robbins, Glenn Beck, Mike Tomlin, Marisol Nichols, Orrin Hatch, Jonathan Lines, Sean Reyes, Jerry Gowen",2018,13+,82 min,Documentary,8.5
5693,Movie,RiffTrax: Day of the Shorts: SF Sketchfest 2019,Michael J. Nelson,"Kevin Murphy, Bill Corbett, Bridget Nelson, Paul F. Tompkins, John Hodgman, Janet Varney, Frank Conniff, Trace Beaulieu, Mystery Science Theater 3000 Guys",2019,13+,108 min,Comedy,8.5
5694,Movie,RiffTrax: Contamination,Michael J. Nelson,"Michael J. Nelson, Kevin Murphy, Bill Corbett, Ian McCulloch, Louise Marleau, Marino Mase, Siegfried Rauch, Gisela Hahn, Mystery Science Theater 3000 Guys",2019,18+,85 min,"Comedy, Science Fiction",8.5
3457,Movie,Romang,Lee Chang-geun,"Lee Soon-jae, Jung Young-sook, Jo Han-chul",2019,13+,112 min,"Drama, Romance",8.5
4527,Movie,Two For Joy,Tom Beard,"Samantha Morton, Billie Pipier, Emilia Jones, Daniel Mays, Bella Ramsey, Badger Skelton",2021,18+,90 min,Drama,8.5
5697,Movie,RiffTrax: Astro-Zombies,Michael J. Nelson,"Michael J. Nelson, Kevin Murphy, Bill Corbett, John Carradine, Wendell Corey, Tom Pace, Joan Patrick, Tura Satana, Mystery Science Theater 3000 Guys",2016,13+,92 min,"Comedy, Horror",8.5
2128,Movie,Ardab Mutiyaran,Manav Shah,"Sonam Bajwa, Ninja, Ajay Sarkaria, Mehreen Pirzada, BN Sharma, Upasana Singh, Sudesh Lehri, Rajeev Mehra, Navneet Nishan, Inderpal Singh, Chesta Bhagat, Myra Singh",2019,13+,139 min,"Comedy, Drama, International",8.5
3814,Movie,Aalas Motaapa Ghabraahat,Omar Iyer,Karunesh Talwar,2021,16+,52 min,Comedy,8.5
5695,Movie,RiffTrax: Bloody Pit of Horror,Michael J. Nelson,"Michael J. Nelson, Kevin Murphy, Bill Corbett, Mickey Hargitay, Walter Brandi, Luisa Baratto, Ralph Zucker, Rita Klein, Mystery Science Theater 3000 Guys",2012,13+,74 min,"Comedy, Horror",8.5
1615,Movie,Chisholm '72: Unbought & Unbossed,Shola Lynch,"Shirley Chisholm, Ronald V. Dellums, Barbara Lee",2004,13+,76 min,Documentary,8.444
4818,Movie,GOD & SPIES,Garry Matheny,"Rich Fairnella, Garry Matheny",2021,7+,88 min,"Action, Drama, Special Interest",8.432
6085,Movie,BoBoiBoy: Elemental Heroes,Nizam Razak,"Nur Fathiah Diaz, Nizam Razak, Ieesya Isandra, Anas Abdul Aziz, Nur Sarah Alisya, Yap Ee Jean",2021,7+,116 min,"Action, Animation, Kids",8.4
3099,Movie,L'Enfant Terrible,Gerardo Gabaldón,"Gerardo Gabaldón, María Senra, Antonio Toledo, Daniel Vázquez, Jorge Brea, Estíbaliz Núñez, Sara Estudillo, Mángeles Quintana, Edu López, Celia Villalobos, Angharad Galnares, Fernando Fossati, Manuel Bedeli, Lola García, Carmen Calero, Susana Gómez, Moisés Gómez",2019,18+,127 min,"Drama, Kids",8.364
3417,Movie,Sunset Boulevard,Billy Wilder,"William Holden, Gloria Swanson, Erich Von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough, Franklin Farnum, Larry Blake, Charles Dayton, Cecil B. DeMille",1950,13+,110 min,"Drama, Suspense",8.335
119,Movie,Useless,Josiah Burdick,"Brooke Wilson, Mark Bracich, Rinnan Henderson",2020,Unknown,90 min,Drama,8.333
121,Movie,Us the Duo: Christmas Live in LA  (4K UHD),Josh Perrault,Unknown,2018,G,51 min,Music Videos and Concerts,8.333
3568,Movie,RiffTrax Live: Time Chasers,Michael J. Nelson,"Michael J. Nelson, Kevin Murphy, Bill Corbett, Matthew Bruch, Bonnie Pritchard, Peter Harrington, George Woodard, Jim Rohn, Mystery Science Theater 3000 Guys",2016,16+,106 min,"Comedy, Science Fiction",8.333
120,Movie,USAISAMONSTER,Unknown,Unknown,2007,NR,46 min,Music Videos and Concerts,8.333
5405,Movie,Superchamp Returns,Félix Koch,"André Jung, Désirée Nosbusch, Jules Werner, Etienne Halsdorf",2018,13+,103 min,Comedy,8.313
4918,Movie,EVANGELION:3.0+1.01 THRICE UPON A TIME,"Hideaki Anno, Kazuya Tsurumaki, Katsuichi Nakayama, Mahiro Maeda","Megumi Ogata, Megumi Hayashibara, Yūko Miyamura, Maaya Sakamoto, Kotono Mitsuishi",2021,16+,156 min,Anime,8.3
2795,Movie,Bryan Callen: Complicated Apes,Brian Volk-Weiss,Bryan Callen,2019,18+,59 min,"Comedy, Special Interest",8.3
1309,Movie,Gleason,Clay Tweel,"Steve Gleason, Michel Varisco, Rivers Gleason, Scott Fujita, Drew Brees, Mike Mccready, Blair Casey, Eddie Vedder",2016,R,111 min,"Documentary, Sports",8.3
4569,Movie,The Swing,Percy Adlon,"Anja Jaenicke, Lena Stolze, Joachim Bernhard",1983,16+,133 min,Drama,8.3
4579,Movie,Server Sundaram,Krishnan-Panju,"Nagesh, R. Muthuraman, K. R. Vijaya, Major Sundarrajan, Manorama",1964,ALL,159 min,"Comedy, Drama",8.3
5543,Movie,The Perfect Blue,Kieron J. Walsh,"Philip Glenister, Inday Ba, Ruth Gemmell, Lennie James",1997,16+,87 min,"Drama, Romance",8.291
516,Movie,Stop Making Sense,Jonathan Demme,"David Byrne, Chris Frantz, Jerry Harrison, Tina Weymouth",1984,7+,88 min,"Documentary, Music Videos and Concerts",8.291
2066,Movie,Life In A Year,Mitja Okorn,"Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Chris D'Elia, JT Neal, Stony Blyden, Peter MacNeill, RZA, Nia Long",2020,PG-13,107 min,"Drama, Young Adult Audience",8.287
2685,Movie,It's A Wonderful Life,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi",1946,PG,131 min,"Drama, Fantasy",8.26
2805,Movie,Ocean to Sky,Michael Dillon,Edmund Hillary,2020,7+,106 min,Documentary,8.25
3750,Movie,The Handmaiden,PARK CHAN-wook,"KIM MIN-hee, HA JUNG-woo, CHO JIN-woong, KIM HAE-sook, MOON SO-ri",2016,18+,145 min,"International, LGBTQ, Suspense",8.244
6556,Movie,Love & Other Drugs,Edward Zwick,"K K, Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad, Gabriel Macht",2010,R,112 min,"Comedy, Drama",8.226
323,Movie,The Legend of Hallowaiian,Sean Patrick O'Reilly,"Vanessa Williams, Noah Schnapp, Mark Hamill, Tia Carrere, Mark Dacascos, Teilor Grubbs, Kiefer O'Reilly",2018,PG,82 min,Kids,8.2
3317,Movie,Mango Dreams,John Upchurch,"Ram Gopal Bajaj, Pankaj Tripathi, Samir Kochhar, Rohini Hattangadi, S M Zaheer, Naseeruddin Shah, Riju Bajaj, Laxmi Rawat, Anamika Sharma, Chetan Shah, Kamna Pathak, Faraz Ahsan, Mohit Pal, Mahabir Bhullar",2017,13+,92 min,"Adventure, Drama",8.2
5476,Movie,A Different Kind Of Christmas,Tom McLoughlin,"Shelley Long, Barry Bostwick, Bruce Kirby, Nathan Lawrence, Nancy McLoughlin",1996,13+,92 min,Drama,8.2
3505,Movie,God's Compass,Stephan Schultze,"Karen Abercrombie, Joey Ibanez, TC Stallings, Jazmin Foster",2016,7+,104 min,Drama,8.2
3098,Movie,Love Ni Bhavai,Saandeep Patel,"Aarohi Patel, Malhar Thakar, Pratik Gandhi",2017,13+,163 min,"Comedy, Drama, Kids",8.2
3367,Movie,Mashaal,Yash Chopra,"Anil Kapoor, Waheeda Rehman, Dilip Kumar, Rati Agnihotri, Saeed Jaffrey, Amrish Puri",1984,ALL,169 min,"Drama, International",8.2
3318,Movie,Little Baby Bum - Wash Your Hands Song & More Nursery Rhymes For Kids,Cannis Holder,Unknown,2020,ALL_AGES,30 min,Kids,8.2
1868,Movie,American Experience: Wyatt Earp,Rob Rapley,Michael Murphy,2010,13+,53 min,Special Interest,8.2
5817,Movie,Rammstein: in Amerika - Live from Madison Square Garden,"Matthew Amos, Laura Vallis",Rammstein,2016,R,102 min,Music Videos and Concerts,8.2
2323,Movie,Chris Porter: A Man From Kansas,Brian Volk-Weiss,Chris Porter,2019,18+,58 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",8.2
3210,Movie,Wintergast,"Matthias Guenter, Andy Herzog","Andy Herzog, Katarina Schroeter",2016,16+,83 min,"Arthouse, Comedy",8.2
326,Movie,The Last Stop,Todd Nilssen,"Liz Arnold, Peter Arnold, Daniel Bennison, Jeff Bloking, Alec Canarri",2020,16+,111 min,Documentary,8.2
3803,Movie,New York,Kabir Khan,"John Abraham, Katrina Kaif, Neil Nitin Mukesh, Irrfan Khan, Nawazuddin Siddiqui, Ali Quli Mirza, Rizwan A. Alvi, Samrat Chakrabarti, Brian Dawson, Andrew Flihan, Obaid Kadwani, Dustin Kerns, Ginger Kroll, Rodger Parsons, Cody Ross Pitts, Justin Stern, Aidan Wagner, David Winning, Damon Zarro",2009,13+,151 min,"International, Suspense",8.17
3379,Movie,Joker,Raju Murugan,"Guru Somasundaram, Ramya Pandiyan, Gayathri, Ramasamy, Bava Chelladurai, Bala Murugan",2016,ALL,129 min,"Comedy, Drama, International",8.166
1524,Movie,Dear Zachary: A Letter To A Son About His Father,Kurt Kuenne,"Kurt Kuenne, Andrew Bagby, David Bagby",2008,18+,94 min,"Documentary, Drama, Suspense",8.115
899,Movie,Morning Meditation at Carmel Estuary,Jim Wilmer,Unknown,2016,ALL,180 min,"Documentary, Special Interest",8.1
1023,Movie,Lola & Virginia (volume 4),Myriam Ballesteros,"Tara Strong, Jules de Jongh, Grey DeLisle, Kath Soucie, Rob Paulsen, Carter Jenkins",2005,Unknown,49 min,"Animation, Kids",8.1
1024,Movie,Lola & Virginia (volume 2),Myriam Ballesteros,"Tara Strong, Jules de Jongh, Grey DeLisle, Kath Soucie, Rob Paulsen, Carter Jenkins",2005,Unknown,50 min,"Animation, Kids",8.1
5651,Movie,The King & I,Richard Rich,"Miranda Richardson, Christiane Noll, Martin Vidnovic, Ian Richardson",1999,G,89 min,"Animation, Kids",8.1
898,Movie,Morning Meditation on Lake Washington,Jim Wilmer,Unknown,2019,ALL,120 min,"Documentary, Special Interest",8.1
897,Movie,Morphle - Building with Morphle,Arthur van Merwijk,Sabrina Glow,2019,ALL,58 min,"Animation, Kids",8.1
4514,Movie,Mexican Moon,Chris Zuhdi,"Paul T. Tailor, Matt Socia, Hugo Christian, Barbara Laurean, Pablo Esparza, Chris Zuhdi",2021,16+,101 min,"Drama, Western",8.1
895,Movie,Morphle - Magical Cartoons & More Educational Videos for Kids,Arthur van Merwijk,Unknown,2019,ALL,25 min,"Animation, Kids",8.1
894,Movie,Morphle - My Magic Animals,Arthur van Merwijk,Unknown,2019,ALL,49 min,"Animation, Kids",8.1
893,Movie,Morphle - Robot Mila and More Cartoons,Arthur van Merwijk,Unknown,2019,ALL,28 min,"Animation, Kids",8.1
896,Movie,Morphle - Fairytale Adventures & More Cartoons for Kids,Arthur van Merwijk,Unknown,2019,ALL,31 min,"Animation, Kids",8.1
889,Movie,Morphle and Mila Easter Special,Moonbug Entertainment,Unknown,2020,ALL,51 min,"Animation, Kids",8.1
1629,Movie,Chasing Happiness,John Lloyd Taylor,"Nick Jonas, Joe Jonas, Kevin Jonas",2019,16+,97 min,Documentary,8.1
890,Movie,Morphle and Mila Dinosaur Adventures,Moonbug Entertainment,Unknown,2019,ALL,52 min,"Animation, Kids",8.1
891,Movie,Morphle - We Love Animals & More Magical Kids Cartoons,Arthur van Merwijk,Unknown,2020,ALL,27 min,"Animation, Kids",8.1
5918,Movie,Cheer Up,Tyler Maddox,"Ashton McGraw, TiaRamy Maloy, Tyler Maddox",2021,13+,68 min,"Comedy, Kids",8.1
887,Movie,Most Likely to Succeed,Pamela Littky,"PeterHayes, Sarah Kaiser-Cross, Quidrela Lewis, Charles Rider",2019,Unknown,96 min,"Documentary, Drama",8.1
892,Movie,Morphle - The Return of Orphle & More Kids Cartoons,Arthur van Merwijk,Sabrina Glow,2020,ALL,30 min,"Animation, Kids",8.1
888,Movie,Morphle Non-Dialogue - Mila and Morphle's Magical Life,Arthur van Merwijk,Sabrina Glow,2019,ALL,45 min,"Animation, Kids",8.1
4309,Movie,To Kill The Dragon,Jimena Monteoliva,"Justina Bustos, Cecilia Cartasegna, Querelle Delage, Luis Machín, Guillermo Pfening",2021,16+,83 min,"Horror, Science Fiction, Suspense",8.071
3075,Movie,Frank & Fearless,Gray Hofmeyr,"Leon, Themba",2018,16+,100 min,Comedy,8.071
1930,Movie,A Taxi Driver,Jang Hoon,"Kang-ho Song, Thomas Kretschmann, Hae-jin Yoo, Jun-yeol Ryu",2017,Unknown,137 min,"Action, Drama, Suspense",8.068
1931,Movie,A Talent For The Game,Robert M. Young,"Lorraine Bracco, Edward James Olmos, Jamey Sheridan",1991,PG,91 min,Drama,8.068
1342,Movie,Gecko's Garage - Trucks Cartoon for Kids,Unknown,Unknown,2019,ALL,33 min,"Animation, Kids",8.063
1336,Movie,Gecko's Wonderful Vehicles,Unknown,Unknown,2019,ALL,39 min,Kids,8.063
1335,Movie,Generation Aami,Mainak Bhaumik,"Sauraseni Maitra, Rwitobroto Mukherjee, Shantilal Mukherjee, Aparajita Auddy",2018,13+,119 min,"Arts, Entertainment, and Culture, Drama, International",8.063
1341,Movie,"Gecko's Garage Real Vehicles Volume 1 (Cars, Ambulance, etc)",Unknown,Unknown,2019,ALL,40 min,Kids,8.063
1337,Movie,Gecko's Garage Vol. 4,Unknown,Unknown,2019,ALL,40 min,Kids,8.063
1338,Movie,Gecko's Garage Vol. 1,Unknown,Unknown,2019,ALL,48 min,"Kids, Special Interest",8.063
1339,Movie,Gecko's Garage Vol 2,Unknown,Unknown,2019,ALL,41 min,Kids,8.063
1340,Movie,"Gecko's Garage Real Vehicles Volume 2 (Trucks, Construction and Large Vehicles)",Unknown,Unknown,2019,ALL,35 min,Kids,8.063
5171,Movie,Oh My Kadavule,Ashwath Marimuthu,"Ashok Selvan, Ritika Singh, Vani Bhojan, Sha Ra, M. S. Bhaskar",2020,13+,147 min,"Romance, Science Fiction",8.052
390,Movie,The Elephant Man,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft",1980,PG,123 min,"Drama, Suspense",8.048
1738,Movie,Bill Hicks: Revelations,Chris Bould,Bill Hicks,1993,18+,56 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",8.046
3472,Movie,Sidekick,Blake Van de Graaf,"David Ingram, Perry Mucci, Daniel Baldwin, Mackenzie Lush",2005,16+,91 min,Science Fiction,8.038
1599,Movie,Citizen K,Alex Gibney,Mikhail Khodorkovsky,2020,18+,126 min,Documentary,8.016
3458,Movie,Nobody,Shawn Linden,"Costas Mandylor, Darren Wall, Ed O'Ross, Dawn Johnson",2007,16+,89 min,"Horror, Suspense",8.009
2674,Movie,The Pollinators,Peter Nelson,"Bret Adee, Jack Algiere, Jeff Anderson, Alan Ard, Dan Barber, Leigh-Kathryn Bonner, Zak Browning, Glenn Card, Steve CLarke, Lucas Criswell, William Criswell, James Frazier PhD, Maryann Frazier, Christina Grozinger PhD, Dave Hackenberg, Davey Hackenberg, Bob Harvey, Neil Hinish, Susan Kegley PhD, Jonathon Lundgren PhD, Bill McKibben, Jeffrey Pettis PhD, Samuel Ramsey PhD",2020,13+,93 min,Documentary,8.0
3819,Movie,Narbachi Wadi,Aditya Ajay Sarpotdar,"Dilip Prabhavalkar, Bhalchandra Kadam, Manoj Joshi, Atul Parchure, Ambarish Deshpande, Vikas Kadam, Jyoti Malshe, Nikhil Ratnaparkhi, Kamlakar Satputhe, Kishori Shahane, Suhas Shirsat",2013,13+,119 min,"Comedy, Drama",8.0
3408,Movie,Aaha Kalyanam (Telugu Dubbed),A Gokul Krishna,"Vaani Kapoor, Badava Gopi, Karthik Nagarajan, Sriram Sriram, Simran, Nani",2014,13+,141 min,"Comedy, International",8.0
4056,Movie,Get Back Up,Norry Niven,"Justin Furstenfeld, Sarah Furstenfeld, Jeremy Furstenfeld, Dan Furstenfeld, Rokie Furstenfeld, Matt Noveskey, Ryan Delahoussaye, Charles B. Hudson III, Paul Nugent, Swin Swinford, Missi Callazzo, Jessie Jessup",2020,16+,106 min,Documentary,8.0
1142,Movie,"Jermaine Fowler: Give 'Em Hell, Kid",Jermaine Fowler,Jermaine Fowler,2015,18+,57 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",8.0
3871,Movie,Chakwa,Jatin Satish Wagle,"Atul Kulkarni, Mukta Barve, Deepa Parab, Sharad Bhutadiya, Shubhangi Damle, Vidyadhar Joshi, Amita Khopkar, Sandesh Kulkarni, Suhas Palshikar, Pradeep Velankar",2003,ALL,131 min,Suspense,8.0
2590,Movie,The Salesman,Asghar Farhadi,Unknown,2016,PG-13,124 min,Drama,8.0
2585,Movie,Ye Re Ye Re Paisa 2,Hemant Dhome,"Sanjay Narvekar, Aniket Vishwasrao, Priyadarshan Jadhav, Mrinmayee Godbole, Anand Ingle, Prasad Oak, Mrinal Kulharni",2019,13+,134 min,"Drama, International",8.0
673,Movie,Rivers and Roads: The Head And The Heart - Live from Pike Place Market,Unknown,"Jonathan Russell, Charity Rose Thielen, Matt Gervais, Chris Zasche, Kenny Hensley, Tyler Williams",2020,13+,74 min,Music Videos and Concerts,8.0
1101,Movie,Kanye West: A Higher Power,Brian Aabech,"Ashley Pearson, Gemma Calvert, Dorian Lynskey, Daniel Cain",2020,16+,58 min,Documentary,8.0
2495,Movie,Jeremiah Watkins: Family Reunion,Jeremiah Watkins,Jeremiah Watkins,2020,16+,61 min,"Arts, Entertainment, and Culture, Comedy",8.0
3497,Movie,Dream Girl,Shivang Shukla,"Garima Chouhan, Vishal Hansrajani",2021,13+,10 min,Romance,8.0
2800,Movie,Sweet Deception,Timothy Bond,"Kate Jackson, Joanna Pacula, Joan Collins, Jack Scalia, Rob Stewart, Lisa Scrage, Tanja Reichert, Sharon Scott",1998,Unknown,88 min,Suspense,8.0
4437,Movie,Stronger Together,Stacy Maltin,"Stacey Maltin, Alice Kremelberg, Jay DeYonker, Walker Hare, Victoria Negri",2017,16+,9 min,Comedy,8.0
3459,Movie,Morti's Law,Marcel Wohlfahrt,"Michael Marwitz, Patrick Loose, Stefan Müller-Doriat, Toni Cyran, Nicolas Szent, Carmen Jahrstorfer",2018,13+,20 min,"Comedy, Drama",8.0
3198,Movie,American Heretics,Jeanine Isabel Butler,Unknown,2021,13+,87 min,Documentary,8.0
4326,Movie,Going For Golden Eye,Jim Miskell,Unknown,2021,13+,57 min,Comedy,8.0
4382,Movie,Lock Down Love,Emeka Mbadiwe,"Janine Hartmann, John Dominguez, Emeka Mbadiwe",2021,13+,69 min,"Drama, Special Interest",8.0
439,Movie,The Beach Boys: An American Band,Malcolm Leo,"Brian Wilson, Dennis Wilson, Carl Wilson, Mike Love, Al Jardine",1985,PG-13,103 min,Documentary,8.0
937,Movie,Melinda Hill: Inappropriate,Melinda Hill,Melinda Hill,2020,18+,61 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",8.0
450,Movie,The Amish and the Reformation,Joseph J Graber,Joseph J. Graber,2017,ALL,54 min,"Documentary, Faith and Spirituality",8.0
596,Movie,Silence (Tamil) (4K UHD),Hemant Madhukar,"Anushka Shetty, Madhavan, Anjali, Michael Madsen",2020,16+,126 min,Suspense,8.0
936,Movie,Merry-Go-Round,"Rupert Julian, Eric von Stroheim","Norman Kerry, Mary Philbin, Albert Conti, Al Edmundsen",1923,13+,113 min,Drama,8.0
4671,Movie,Giants of Rome, Antonio Margheriti,"Richard Harrison, Wandisa Guida, Ettore Manni",1964,13+,76 min,Drama,8.0
4516,Movie,Just Call Me Martina,Peter Small,"Martina Navratilova, Sue Barker",2016,16+,52 min,"Documentary, LGBTQ",8.0
4481,Movie,Custodes,"Lea Borniotto, Vera Borniotto, Edoardo Nervi","Vera Borniotto, Lea Borniotto, Lorenzo Crovetto, Eleonora Manca, Maurizio Nervi",2021,13+,91 min,Horror,8.0
4724,Movie,Acres and Acres,Niall Johnson,"Rafe Spall, Emilia Fox, Elaine Cassidy",2019,13+,102 min,Drama,8.0
293,Movie,The Mystery of Chaco Canyon,Anna Sofaer,Robert Redford,1999,16+,56 min,"Documentary, Special Interest",8.0
595,Movie,Silence Patton,Robert Orlando,"Don Kruizinga, Peter Reznikoff",2018,13+,85 min,Documentary,8.0
3407,Movie,Aaina,Deepak Sareen,"Jackie Shroff, Saeed Jaffrey, Deepak Tijori, Maya Alagh, Dina Pathak, Juhi Chawla, Amrita Singh",1993,16+,150 min,"Drama, International, Romance",8.0
5202,Movie,Tiny Dancers,Patrick Russell,"Brittany Cascone, Adam Brudnicki, Beau Yotty, Tracey Eman",2021,18+,81 min,"Comedy, Young Adult Audience",8.0
2900,Movie,Adam Newman: Fuzzies,Jay Chapman,Adam Newman,2017,Unknown,66 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",8.0
2809,Movie,Hold,Frank Mosley,"Robby Storey, Stephanie Rhodes, Jodie Moore, Andrew Sensenig",2009,18+,86 min,"Drama, Suspense",8.0
2810,Movie,Hindu Raga Music for Yoga,Yocalm Studios,Unknown,2014,ALL,37 min,Special Interest,8.0
5168,Movie,Secret Life of the Long-Haul Flight,Iain A. Hunt,Unknown,2017,7+,67 min,Documentary,8.0
5161,Movie,The Secret Life of the World's Busiest Airport,David Johnson,Unknown,2018,7+,67 min,Documentary,8.0
